name,oracle_text,oracleid,tag,type_line
Battlefield Scavenger,"You may exert Battlefield Scavenger as it attacks. (It won't untap during your next untap step.)
Whenever you exert a creature, you may discard a card. If you do, draw a card.",f88b0634-144a-4a33-a369-62df8edf05fe,discard-outlet,Creature — Jackal Rogue
Bazaar of Baghdad,"{T}: Draw two cards, then discard three cards.",54022a10-c9f0-458d-a0ed-228843cd9a40,discard-outlet,Land
Bazaar Trademage,"Flying
When Bazaar Trademage enters the battlefield, draw two cards, then discard three cards.",6c94a255-c031-48d7-aa07-1189ad3da3b6,discard-outlet,Creature — Human Wizard
Blackmail,Target player reveals three cards from their hand and you choose one of them. That player discards that card.,2dc6da5d-c4d1-4f2c-8f46-11a935bc0044,discard-outlet,Sorcery
Blast of Genius,"Choose any target. Draw three cards, then discard a card. Blast of Genius deals damage equal to the discarded card's converted mana cost to that permanent or player.",cfe82e0f-7ac0-4de3-b1b3-a2d519b00bbd,discard-outlet,Sorcery
Bloodfire Mentor,"{2}{U}, {T}: Draw a card, then discard a card.",2c47319a-4062-4aec-b68a-e8e8f023cf86,discard-outlet,Creature — Efreet Shaman
Bloodsoaked Altar,"{T}, Pay 2 life, Discard a card, Sacrifice a creature: Create a 5/5 black Demon creature token with flying. Activate this ability only any time you could cast a sorcery.",67631753-f37a-4f41-a6e6-1edead385acc,discard-outlet,Artifact
Body Snatcher,"When Body Snatcher enters the battlefield, exile it unless you discard a creature card.
When Body Snatcher dies, exile Body Snatcher and return target creature card from your graveyard to the battlefield.",e04688e0-672b-407f-a2c9-fd7292926483,discard-outlet,Creature — Minion
Bog Witch,"{B}, {T}, Discard a card: Add {B}{B}{B}.",85573cba-07ae-4421-a167-a8569f85c0f7,ramp,Creature — Human Spellshaper
Bonded Fetch,"Defender, haste
{T}: Draw a card, then discard a card.",79d34537-4633-4728-a1b3-5822119f0c84,discard-outlet,Creature — Homunculus
Book Devourer,"Trample
Whenever Book Devourer deals combat damage to a player, you may discard all the cards in your hand. If you do, draw that many cards.",fb6d24cb-4e79-4d0c-b32f-47d5f709de1b,discard-outlet,Creature — Beast
Borborygmos Enraged,"Trample
Whenever Borborygmos Enraged deals combat damage to a player, reveal the top three cards of your library. Put all land cards revealed this way into your hand and the rest into your graveyard.
Discard a land card: Borborygmos Enraged deals 3 damage to any target.",b7505737-1fc8-4ee8-8b1d-5dde73b6a76d,discard-outlet,Legendary Creature — Cyclops
Bottomless Pit,"At the beginning of each player's upkeep, that player discards a card at random.",91e6fb47-59e4-4616-b8dd-3a7e30070074,discard-outlet,Enchantment
Brain Weevil,"Intimidate (This creature can't be blocked except by artifact creatures and/or creatures that share a color with it.)
Sacrifice Brain Weevil: Target player discards two cards. Activate this ability only any time you could cast a sorcery.",dfa8de88-9222-435f-a56e-c32e91fd5289,discard-outlet,Creature — Insect
Breakthrough,"Draw four cards, then choose X cards in your hand and discard the rest.",c6b26c1f-121f-4b7c-921e-429b623ca934,discard-outlet,Sorcery
Brilliant Spectrum,"Converge — Draw X cards, where X is the number of colors of mana spent to cast Brilliant Spectrum. Then discard two cards.",88ed66fc-7068-44a7-b00f-3be22fb500cb,discard-outlet,Sorcery
Burning-Fist Minotaur,"First strike
{1}{R}, Discard a card: Burning-Fist Minotaur gets +2/+0 until end of turn.",5460c76f-39dc-4db0-acf7-146d533d822b,discard-outlet,Creature — Minotaur Wizard
Burning Inquiry,"Each player draws three cards, then discards three cards at random.",af98156b-3064-4f16-940e-10039241f2b0,discard-outlet,Sorcery
Burning-Tree Vandal,"Riot (This creature enters the battlefield with your choice of a +1/+1 counter or haste.)
Whenever Burning-Tree Vandal attacks, you may discard a card. If you do, draw a card.",5bed3702-984d-436f-bb71-e16eaeffe902,discard-outlet,Creature — Human Rogue
Cabal Interrogator,"{X}{B}, {T}: Target player reveals X cards from their hand and you choose one of them. That player discards that card. Activate this ability only any time you could cast a sorcery.",769ae101-73cc-4ac5-8f46-8af8e7de6581,discard-outlet,Creature — Zombie Wizard
Cabal Therapy,"Choose a nonland card name. Target player reveals their hand and discards all cards with that name.
Flashback—Sacrifice a creature. (You may cast this card from your graveyard for its flashback cost. Then exile it.)",018107d1-ebf7-4657-bc91-c8374af55cc5,discard-outlet,Sorcery
Call the Bloodline,"{1}, Discard a card: Create a 1/1 black Vampire Knight creature token with lifelink. Activate this ability only once each turn.",8e90300b-c0da-4484-b065-e2fafa4e1b15,discard-outlet,Enchantment
Careful Consideration,"Target player draws four cards, then discards three cards. If you cast this spell during your main phase, instead that player draws four cards, then discards two cards.",2b34b361-7b0e-4464-874c-ceb501bc5ecc,discard-outlet,Instant
Careful Study,"Draw two cards, then discard two cards.",32e9aa23-fc0a-4b82-82f9-1659c304428c,discard-outlet,Sorcery
Casting of Bones,"Enchant creature
When enchanted creature dies, draw three cards, then discard one of them.",5a747256-4215-4334-98ab-0c2e4ed92e47,discard-outlet,Enchantment — Aura
Catalog,"Draw two cards, then discard a card.",965139fb-2e58-4ef2-b639-3ceaa2995c00,discard-outlet,Instant
Cathartic Reunion,"As an additional cost to cast this spell, discard two cards.
Draw three cards.",0f3c3e5f-6af3-4af2-8703-4ccc8ed8f675,discard-outlet,Sorcery
Cauldron Dance,"Cast this spell only during combat.
Return target creature card from your graveyard to the battlefield. That creature gains haste. Return it to your hand at the beginning of the next end step.
You may put a creature card from your hand onto the battlefield. That creature gains haste. Its controller sacrifices it at the beginning of the next end step.",e9784eb4-96f2-409e-a7b5-eb6478644943,sacrifice-outlet,Instant
Cavalier of Flame,"{1}{R}: Creatures you control get +1/+0 and gain haste until end of turn.
When Cavalier of Flame enters the battlefield, discard any number of cards, then draw that many cards.
When Cavalier of Flame dies, it deals X damage to each opponent and each planeswalker they control, where X is the number of land cards in your graveyard.",98b19afc-7696-46b9-96f0-7f7c60003e1c,discard-outlet,Creature — Elemental Knight
Centaur Veteran,"Trample
{G}, Discard a card: Regenerate Centaur Veteran.",bd4c9726-c7bb-4da4-99e5-e98d174d6a52,discard-outlet,Creature — Centaur
Cephalid Broker,"{T}: Target player draws two cards, then discards two cards.",18bb35a8-01ac-414f-9a45-e550060ff905,discard-outlet,Creature — Cephalid
Cephalid Coliseum,"{T}: Add {U}. Cephalid Coliseum deals 1 damage to you.
Threshold — {U}, {T}, Sacrifice Cephalid Coliseum: Target player draws three cards, then discards three cards. Activate this ability only if seven or more cards are in your graveyard.",c733873e-77db-471f-8061-139db24f7e7c,discard-outlet,Land
Cephalid Inkshrouder,Discard a card: Cephalid Inkshrouder gains shroud until end of turn and can't be blocked this turn. (A creature with shroud can't be the target of spells or abilities.),a3add0d7-2610-4b4e-9d43-3f04a5cd8259,discard-outlet,Creature — Cephalid
Cephalid Looter,"{T}: Target player draws a card, then discards a card.",412294bf-a25f-47c2-8043-12eb3e142b9e,discard-outlet,Creature — Cephalid Rogue
Cephalid Sage,"Threshold — As long as seven or more cards are in your graveyard, Cephalid Sage has ""When Cephalid Sage enters the battlefield, draw three cards, then discard two cards.""",29182a24-3bdb-4fd0-8a1d-a196340c0858,discard-outlet,Creature — Cephalid
Ceta Sanctuary,"At the beginning of your upkeep, if you control a red or green permanent, draw a card, then discard a card. If you control a red permanent and a green permanent, instead draw two cards, then discard a card.",45c4e67c-e452-41c5-8baa-050819a1321f,discard-outlet,Enchantment
Chain of Plasma,"Chain of Plasma deals 3 damage to any target. Then that player or that permanent's controller may discard a card. If the player does, they may copy this spell and may choose a new target for that copy.",029d08cb-da4d-4f4e-b667-62712af63260,discard-outlet,Instant
Chandra Ablaze,"+1: Discard a card. If a red card is discarded this way, Chandra Ablaze deals 4 damage to any target.
−2: Each player discards their hand, then draws three cards.
−7: Cast any number of red instant and/or sorcery cards from your graveyard without paying their mana costs.",3fae28e6-2ffc-460e-9dd3-e321e8a53ba9,removal,Legendary Planeswalker — Chandra
"Chandra, Flamecaller","+1: Create two 3/1 red Elemental creature tokens with haste. Exile them at the beginning of the next end step.
0: Discard all the cards in your hand, then draw that many cards plus one.
−X: Chandra, Flamecaller deals X damage to each creature.",0c2a9131-f3d7-4f71-8bcc-3c169574b2e3,sweeper,Legendary Planeswalker — Chandra
Chandra's Defeat,"Chandra's Defeat deals 5 damage to target red creature or red planeswalker. If that permanent is a Chandra planeswalker, you may discard a card. If you do, draw a card.",a57ad23b-cff3-45e5-98b3-1b20224aaa19,removal,Instant
Chandra's Regulator,"Whenever you activate a loyalty ability of a Chandra planeswalker, you may pay {1}. If you do, copy that ability. You may choose new targets for the copy.
{1}, {T}, Discard a Mountain card or a red card: Draw a card.",d8c95a86-2f05-44f9-8ed7-b1798eaed42f,discard-outlet,Legendary Artifact
Cho-Arrim Alchemist,"{1}{W}{W}, {T}, Discard a card: The next time a source of your choice would deal damage to you this turn, prevent that damage. You gain life equal to the damage prevented this way.",1e1d4d81-4a45-41b5-a781-ae2227b4f4c0,discard-outlet,Creature — Human Spellshaper
Cloudseeder,"Flying
{U}, {T}, Discard a card: Create a 1/1 blue Faerie creature token named Cloud Sprite. It has flying and ""Cloud Sprite can block only creatures with flying.""",4ba75d9e-e3f1-424a-95ca-37784b8d9479,discard-outlet,Creature — Faerie Spellshaper
Collective Defiance,"Escalate {1} (Pay this cost for each mode chosen beyond the first.)
Choose one or more —
• Target player discards all the cards in their hand, then draws that many cards.
• Collective Defiance deals 4 damage to target creature.
• Collective Defiance deals 3 damage to target opponent or planeswalker.",43ddc3e8-936b-4be0-9e64-484bbbd69016,discard-outlet,Sorcery
Compulsion,"{1}{U}, Discard a card: Draw a card.
{1}{U}, Sacrifice Compulsion: Draw a card.",3fafb6b2-5cae-45b6-8550-3ff8daa02802,discard-outlet,Enchantment
Compulsive Research,Target player draws three cards. Then that player discards two cards unless they discard a land card.,f947808c-a1cc-41ea-9d06-e1279a0da527,discard-outlet,Sorcery
Control of the Court,"Draw four cards, then discard three cards at random.",755034b1-1859-4f18-9394-c0e1914a5b83,draw,Sorcery
Corpse Connoisseur,"When Corpse Connoisseur enters the battlefield, you may search your library for a creature card and put that card into your graveyard. If you do, shuffle your library.
Unearth {3}{B} ({3}{B}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)",f39e2611-c837-4ad7-b3a8-1ee48b74777c,discard-outlet,Creature — Zombie Wizard
Cragganwick Cremator,"When Cragganwick Cremator enters the battlefield, discard a card at random. If you discard a creature card this way, Cragganwick Cremator deals damage equal to that card's power to target player or planeswalker.",f8ea46e2-84ca-4dcb-b675-a2374bc967bc,discard-outlet,Creature — Giant Shaman
Crashing Centaur,"{G}, Discard a card: Crashing Centaur gains trample until end of turn.
Threshold — As long as seven or more cards are in your graveyard, Crashing Centaur gets +2/+2 and has shroud. (It can't be the target of spells or abilities.)",d13a9cb1-1c76-4ac1-80d8-3c471753a588,discard-outlet,Creature — Centaur
Cryptbreaker,"{1}{B}, {T}, Discard a card: Create a 2/2 black Zombie creature token.
Tap three untapped Zombies you control: You draw a card and you lose 1 life.",16f75a65-d067-4f79-81b9-833c373cf4d2,discard-outlet,Creature — Zombie
Cunning Lethemancer,"At the beginning of your upkeep, each player discards a card.",d696aba9-ef3e-4f81-821a-c1df51431b8a,discard-outlet,Creature — Human Wizard
Curse of Chaos,"Enchant player
Whenever a player attacks enchanted player with one or more creatures, that attacking player may discard a card. If the player does, they draw a card.",a242af4b-5de6-4961-b684-f4bd809977c6,discard-outlet,Enchantment — Aura Curse
Customs Depot,"Whenever you cast a creature spell, you may pay {1}. If you do, draw a card, then discard a card.",de64eab5-9d7a-4408-8358-47d30a14ce40,draw,Enchantment
Dack Fayden,"+1: Target player draws two cards, then discards two cards.
−2: Gain control of target artifact.
−6: You get an emblem with ""Whenever you cast a spell that targets one or more permanents, gain control of those permanents.""",9d4b1e44-3c66-4b1b-8a1d-308aa4f841f8,discard-outlet,Legendary Planeswalker — Dack
Dangerous Wager,"Discard your hand, then draw two cards.",7e0d60d7-cb27-4e45-80d4-c29aef5d56b6,discard-outlet,Instant
"Daretti, Scrap Savant","+2: Discard up to two cards, then draw that many cards.
−2: Sacrifice an artifact. If you do, return target artifact card from your graveyard to the battlefield.
−10: You get an emblem with ""Whenever an artifact is put into your graveyard from the battlefield, return that card to the battlefield at the beginning of the next end step.""
Daretti, Scrap Savant can be your commander.",ea9f4de3-fc35-435a-8dff-a5657d14a9bd,discard-outlet,Legendary Planeswalker — Daretti
Daring Saboteur,"{2}{U}: Daring Saboteur can't be blocked this turn.
Whenever Daring Saboteur deals combat damage to a player, you may draw a card. If you do, discard a card.",d36f64a0-53f7-4c56-9f40-a7927a5c2608,discard-outlet,Creature — Human Pirate
Dark Deal,"Each player discards all the cards in their hand, then draws that many cards minus one.",c527eb80-ccac-40b8-8377-c31121613128,discard-outlet,Sorcery
Dawnstrider,"{G}, {T}, Discard a card: Prevent all combat damage that would be dealt this turn.",d2783a37-b6de-4184-b094-e1a23f185a94,discard-outlet,Creature — Dryad Spellshaper
Deal Broker,"Draft Deal Broker face up.
Immediately after the draft, you may reveal a card in your card pool. Each other player may offer you one card in their card pool in exchange. You may accept any one offer.
{T}: Draw a card, then discard a card.",1269f7dc-a5d6-48e9-8887-b581ce38c204,discard-outlet,Artifact Creature — Construct
Deepcavern Imp,"Flying, haste
Echo—Discard a card. (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)",1f295f2f-969a-4b82-98d1-7fe307ec83a7,discard-outlet,Creature — Imp Rebel
Deepwood Drummer,"{G}, {T}, Discard a card: Target creature gets +2/+2 until end of turn.",b2bbb4e5-05b1-49e5-ad02-7384e115e06b,discard-outlet,Creature — Human Spellshaper
Delirium Skeins,Each player discards three cards.,7397036f-8114-47cc-b52f-c532a6845d16,discard-outlet,Sorcery
Demonic Collusion,"Buyback—Discard two cards. (You may discard two cards in addition to any other costs as you cast this spell. If you do, put this card into your hand as it resolves.)
Search your library for a card and put that card into your hand. Then shuffle your library.",53cbc12d-e182-4cde-8967-9b2664daa817,discard-outlet,Sorcery
Desolate Lighthouse,"{T}: Add {C}.
{1}{U}{R}, {T}: Draw a card, then discard a card.",aa6dbdf2-2379-4ff5-8a6c-70258784dc35,discard-outlet,Land
Desperate Ravings,"Draw two cards, then discard a card at random.
Flashback {2}{U} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",8b96c334-82c7-4511-805e-f04c27514d7c,discard-outlet,Instant
Devastating Dreams,"As an additional cost to cast this spell, discard X cards at random.
Each player sacrifices X lands. Devastating Dreams deals X damage to each creature.",18994c4c-9b5d-4b58-a5c3-646fbc92f9c7,sweeper,Sorcery
Devout Witness,"{1}{W}, {T}, Discard a card: Destroy target artifact or enchantment.",83647f5b-2b0f-4f9d-83c5-75c52460f35b,removal,Creature — Human Spellshaper
Diplomatic Escort,"{U}, {T}, Discard a card: Counter target spell or ability that targets a creature.",55cc14d0-11ed-444d-884a-cfb692ba632b,discard-outlet,Creature — Human Spellshaper
Dirty Wererat,"{B}, Discard a card: Regenerate Dirty Wererat.
Threshold — As long as seven or more cards are in your graveyard, Dirty Wererat gets +2/+2 and can't block.",7fbd5f69-f6b4-4ad7-8e9e-47a798324f6c,discard-outlet,Creature — Human Rat Minion
Disciple of Deceit,"Inspired — Whenever Disciple of Deceit becomes untapped, you may discard a nonland card. If you do, search your library for a card with the same converted mana cost as that card, reveal it, put it into your hand, then shuffle your library.",34ace274-8401-4e3c-89cd-75fe2337bf7d,discard-outlet,Creature — Human Rogue
Dismissive Pyromancer,"{R}, {T}, Discard a card: Draw a card.
{2}{R}, {T}, Sacrifice Dismissive Pyromancer: It deals 4 damage to target creature.",f040310d-d6ac-4d77-9f76-ca325eddf306,discard-outlet,Creature — Human Wizard
Distress,Target player reveals their hand. You choose a nonland card from it. That player discards that card.,7bb1b48b-aa6b-4064-9355-c43b0f509388,discard-outlet,Sorcery
Divining Witch,"{1}{B}, {T}, Discard a card: Choose a card name. Exile the top six cards of your library, then reveal cards from the top of your library until you reveal a card with the chosen name. Put that card into your hand and exile all other cards revealed this way.",ebd77c52-97ea-421f-99eb-c6e2263cdecf,discard-outlet,Creature — Human Spellshaper
Draconian Cylix,"{2}, {T}, Discard a card at random: Regenerate target creature.",0880b36a-6141-4955-b532-cf88daca0869,discard-outlet,Artifact
Dragon Mage,"Flying
Whenever Dragon Mage deals combat damage to a player, each player discards their hand, then draws seven cards.",eab71e4e-27c3-4c41-b95f-259c1d14b97a,discard-outlet,Creature — Dragon Wizard
Dream Halls,"Rather than pay the mana cost for a spell, its controller may discard a card that shares a color with that spell.",d901e17f-a5f4-49d9-8a6d-ab771949af24,ramp,Enchantment
Dreamscape Artist,"{2}{U}, {T}, Discard a card, Sacrifice a land: Search your library for up to two basic land cards, put them onto the battlefield, then shuffle your library.",c2550f1a-b662-43e7-a0b2-843025739a8f,ramp,Creature — Human Spellshaper
Drekavac,"When Drekavac enters the battlefield, sacrifice it unless you discard a noncreature card.",f7971f22-2689-4c6f-9fea-1afc4f5afed3,discard-outlet,Creature — Beast
Drowned Rusalka,"{U}, Sacrifice a creature: Discard a card, then draw a card.",62e86e38-2f8d-4cee-aa7e-4519add79d4d,discard-outlet,Creature — Spirit
Enclave Cryptologist,"Level up {1}{U} ({1}{U}: Put a level counter on this. Level up only as a sorcery.)
LEVEL 1-2
0/1
{T}: Draw a card, then discard a card.
LEVEL 3+
0/1
{T}: Draw a card.",bc0fc535-357a-4d83-8d64-34337222cc4b,draw,Creature — Merfolk Wizard
Enhanced Awareness,"Draw three cards, then discard a card.",397964db-465a-407d-9dc7-d0a4944473ac,discard-outlet,Instant
Entomb,Search your library for a card and put that card into your graveyard. Then shuffle your library.,299fc083-0834-4064-8344-f895aff68867,discard-outlet,Instant
Ephemeron,"Flying
Discard a card: Return Ephemeron to its owner's hand.",e4f28144-71c8-4393-b383-047529fe8878,discard-outlet,Creature — Illusion
Epiphany Storm,"Enchant creature
Enchanted creature has ""{R}, {T}, Discard a card: Draw a card.""",833fe5f4-cfab-46ce-a4fe-250673896350,discard-outlet,Enchantment — Aura
Erebos's Emissary,"Bestow {5}{B} (If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached to a creature.)
Discard a creature card: Erebos's Emissary gets +2/+2 until end of turn. If Erebos's Emissary is an Aura, enchanted creature gets +2/+2 until end of turn instead.
Enchanted creature gets +3/+3.",dc39c52b-9bee-4cec-a970-1867314944ef,discard-outlet,Enchantment Creature — Snake
Erstwhile Trooper,Discard a creature card: Erstwhile Trooper gets +2/+2 and gains trample until end of turn. Activate this ability only once each turn.,a1640d9a-367f-4b90-bd4d-18f2c9244ccf,discard-outlet,Creature — Zombie Soldier
Exiled Boggart,"When Exiled Boggart dies, discard a card.",8c07878f-348c-4fd9-955f-87e975ed61fa,discard-outlet,Creature — Goblin Rogue
Face of Fear,"{2}{B}, Discard a card: Face of Fear gains fear until end of turn. (It can't be blocked except by artifact creatures and/or black creatures.)",605787fe-64e9-4de8-974a-473277b0ba2e,discard-outlet,Creature — Horror
Failed Inspection,"Counter target spell. Draw a card, then discard a card.",e4fbf952-de3b-4cbd-848a-37041f337e06,discard-outlet,Instant
Faithless Looting,"Draw two cards, then discard two cards.
Flashback {2}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",3d6fa57a-aa53-4b5c-b8af-a7612c823117,discard-outlet,Sorcery
Fallow Wurm,"When Fallow Wurm enters the battlefield, sacrifice it unless you discard a land card.",7b414f70-a9b1-42c3-9655-6aa520d3b19b,discard-outlet,Creature — Wurm
Fateful Showdown,"Fateful Showdown deals damage to any target equal to the number of cards in your hand. Discard all the cards in your hand, then draw that many cards.",729b7ce8-7e7f-4db9-b3ce-67aba46a7b0d,discard-outlet,Instant
Fauna Shaman,"{G}, {T}, Discard a creature card: Search your library for a creature card, reveal it, put it into your hand, then shuffle your library.",35b8fa77-4e85-418b-b335-cd1af127075c,discard-outlet,Creature — Elf Shaman
Firestorm,"As an additional cost to cast this spell, discard X cards.
Firestorm deals X damage to each of X targets.",157813c8-af83-41b5-9ffb-4abd167c1bfc,discard-outlet,Instant
Fledgling Imp,"{B}, Discard a card: Fledgling Imp gains flying until end of turn.",e7eaffd5-bdaf-4f72-9c88-8196b3411894,discard-outlet,Creature — Imp
Fleshgrafter,Discard an artifact card: Fleshgrafter gets +2/+2 until end of turn.,04b1fb9e-4aef-46d9-b163-f9beff198bad,discard-outlet,Creature — Human Warrior
Flowstone Channeler,"{1}{R}, {T}, Discard a card: Target creature gets +1/-1 and gains haste until end of turn.",91818ad0-b22a-423c-bed6-a285f2f8c9d4,removal,Creature — Human Spellshaper
Flowstone Sculpture,"{2}, Discard a card: Put a +1/+1 counter on Flowstone Sculpture or Flowstone Sculpture gains flying, first strike, or trample. (This effect lasts indefinitely.)",42b01697-8663-4b53-86d5-699063bd0778,discard-outlet,Artifact Creature — Shapeshifter
Flux,"Each player discards any number of cards, then draws that many cards.
Draw a card.",b8cff5f1-6871-49d2-89a7-24870308aadb,discard-outlet,Sorcery
Forbid,"Buyback—Discard two cards. (You may discard two cards in addition to any other costs as you cast this spell. If you do, put this card into your hand as it resolves.)
Counter target spell.",6e26a525-2584-490d-b106-621c1a30e1fd,discard-outlet,Instant
Force Away,"Return target creature to its owner's hand.
Ferocious — If you control a creature with power 4 or greater, you may draw a card. If you do, discard a card.",4770ec88-bc7b-457e-8f67-ae46e2cf4caa,removal,Instant
Forget,"Target player discards two cards, then draws as many cards as they discarded this way.",619ef7e1-33cd-4470-a1d4-83c5f1f5c31e,discard-outlet,Sorcery
Forgotten Creation,"Skulk (This creature can't be blocked by creatures with greater power.)
At the beginning of your upkeep, you may discard all the cards in your hand. If you do, draw that many cards.",c26964c7-4259-4281-b450-f0c2ed34b37c,discard-outlet,Creature — Zombie Horror
Frantic Search,"Draw two cards, then discard two cards. Untap up to three lands.",16e015b2-f8a3-4b1a-80be-58a8f5fb5e8c,discard-outlet,Instant
Frontline Sage,"Exalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)
{U}, {T}: Draw a card, then discard a card.",b0f6130c-58f7-4693-894c-598cd9a38ce7,discard-outlet,Creature — Human Wizard
Funeral Charm,"Choose one —
• Target player discards a card.
• Target creature gets +2/-1 until end of turn.
• Target creature gains swampwalk until end of turn. (It can't be blocked as long as defending player controls a Swamp.)",8866272d-89cb-478c-82ae-20e1d510eab7,removal,Instant
Gamble,"Search your library for a card, put that card into your hand, discard a card at random, then shuffle your library.",a54f0869-94c8-42af-9080-166efb9486a4,discard-outlet,Sorcery
Gate to the Afterlife,"Whenever a nontoken creature you control dies, you gain 1 life. Then you may draw a card. If you do, discard a card.
{2}, {T}, Sacrifice Gate to the Afterlife: Search your graveyard, hand, and/or library for a card named God-Pharaoh's Gift and put it onto the battlefield. If you search your library this way, shuffle it. Activate this ability only if there are six or more creature cards in your graveyard.",5a682ec5-78e6-4238-b5c2-e94b7a8f8066,discard-outlet,Artifact
